coordinates,created_at,hashtags,media,urls,favorite_count,id,in_reply_to_screen_name,in_reply_to_status_id,in_reply_to_user_id,lang,place,possibly_sensitive,retweet_count,retweet_id,retweet_screen_name,source,text,tweet_url,user_created_at,user_screen_name,user_default_profile_image,user_description,user_favourites_count,user_followers_count,user_friends_count,user_listed_count,user_location,user_name,user_screen_name,user_statuses_count,user_time_zone,user_urls,user_verified
,Tue Jan 21 22:47:43 +0000 2020,,,,2,1219753470116421636,JohnMaaMD,1219749461108215800,119784509,en,,,3,,,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",@JohnMaaMD @tr1pl3six @EdwardHubert4 @ravin187 @coqundoodledoo @itsphephe @ParentsvsVape @cdc @va_shiva EVALI was a lie. Nothing to do with ecig/nicotine vaping. People should never vape oils. Might as well tie a plastic bag over your head. Cannot compare to nicotine vaping.,https://twitter.com/TroopaX/status/1219753470116421636,Tue Dec 07 17:53:30 +0000 2010,TroopaX,false,"My MadMixtress, vape, music, motorcycles, good food. Not one to suffer fake agenda, “for profit” Public Health shills that don’t PH, or headlines that..",20500,795,1072,0,Minneapolis,Troop Wol,TroopaX,6165,,http://www.casaa.org,false
,Tue Jan 21 22:41:38 +0000 2020,,,http://tl.gd/n_1sr4ftn,0,1219751937089949696,,,,en,,false,2,1219750319426543618,KazuyaJohnson,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","RT @KazuyaJohnson: For my sister

Read: https://t.co/WzmBMkIFcg",https://twitter.com/CDC_Plays/status/1219751937089949696,Fri Dec 06 06:17:48 +0000 2013,CDC_Plays,false,"dad to 3 mad lads 🧒🧒👶🏻


 @kaitmicaelah is bae💚 

Ghostface main 🔪

(thoughts and opinions are solely mine)

   Biz Inquiries - cdcplaysttv@gmail.com",57633,307,275,5,"Newport, KY",CDC_plays 💜💀,CDC_Plays,22233,,https://www.twitch.tv/cdc_plays,false
,Tue Jan 21 22:20:41 +0000 2020,,,,0,1219746664342155265,,,,en,,,956,1219706962851569665,cnnbrk,"<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>","RT @cnnbrk: A man who lives in Snohomish County, Washington, is confirmed to have the first US case of Wuhan coronavirus https://t.co/Kmw7E…",https://twitter.com/kbplitt/status/1219746664342155265,Sat Aug 22 17:29:25 +0000 2009,kbplitt,true,,92075,118,198,23,,Kathryn Plitt,kbplitt,141725,,,false
,Tue Jan 21 22:27:30 +0000 2020,trumptrain1111,,,0,1219748381276307456,,,,en,,,178,1219710963617861632,trumptrain1111,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","RT @trumptrain1111: BEWARE!

THE CHINA VIRUS HAS LANDED IN US!

CDC Confirms First U.S. Case of Deadly China Virus
#trumptrain1111 https://…",https://twitter.com/pdngrfld/status/1219748381276307456,Tue Jan 24 03:13:56 +0000 2017,pdngrfld,true,,112810,1282,1183,0,,Perry C Dangerfield,pdngrfld,104223,,,false
,Tue Jan 21 22:26:56 +0000 2020,,https://twitter.com/Gizmodo/status/1219747262122942470/photo/1,http://gizmo.do/dt09Jyl,0,1219748239123062784,,,,en,,false,18,1219747262122942470,Gizmodo,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","RT @Gizmodo: Deadly new virus in China has reached the U.S., CDC reports https://t.co/5IskRP3UC1 https://t.co/gpO3ncSLcF",https://twitter.com/PDerek56/status/1219748239123062784,Fri May 13 03:52:46 +0000 2016,PDerek56,false,I REP EVERYTHING FLORIDA.💯 #UNC #FSU #TEXANS #DOLPHINS #HEAT #FLORIDABOY....210 via 352 (Florida ➡️Texas). UTSA,4332,88,252,2,"Texas, USA",Hollywood P,PDerek56,12435,,,false
,Tue Jan 21 22:23:27 +0000 2020,,,https://trib.al/9DQUSfy,0,1219747361473298434,,,,en,,false,128,1219693950593851394,BreitbartNews,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",RT @BreitbartNews: CDC Confirms First U.S. Case of Deadly China Coronavirus https://t.co/LSEVffvIAT,https://twitter.com/td21241/status/1219747361473298434,Sun May 18 16:53:52 +0000 2014,td21241,false,#MAGA,104553,5139,4686,52,USA,TD 🇺🇸,td21241,355955,,,false
,Tue Jan 21 22:57:17 +0000 2020,,,,0,1219755875407224832,,,,en,,,217,1219689898195726338,zerohedge,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",RT @zerohedge: TRAVELER FROM CHINA DIAGNOSED IN SEATTLE WITH WUHAN CORONAVIRUS - CDC SPOKESMAN,https://twitter.com/AlbionsSeed/status/1219755875407224832,Fri Mar 25 20:56:53 +0000 2016,AlbionsSeed,false,WELCOME TO #HotelTwitterFornia - YOU CAN CHECK IN - BUT YOU CAN NEVER LEAVE. @JACK WON’T ALLOW U TO DEACTIVATE YOUR ACCOUNT,27570,1903,3861,0,https://youtu.be/SjuZq-8PUw0,AlbionsSeed 🇸🇴,AlbionsSeed,295893,,,false
,Tue Jan 21 22:56:08 +0000 2020,,,,0,1219755586272813057,,,,en,,,1283,1219684881439039490,MatthewHilk,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",RT @MatthewHilk: BREAKING from @CNN - CDC expected to announce first U.S. case of Wuhan Coronavirus this afternoon @cnnhealth,https://twitter.com/Norberta36/status/1219755586272813057,Sun Jun 18 21:51:46 +0000 2017,Norberta36,false,"✨TruthToPower✨ Dark$ and CU Must Go! 🔥🐉Fiercely loyal to the Constitution. Unhack the Vote, Wash Your Damn Hands‼️ ✊🏾BLM 💙Biden2020 ✨Fan Acct",352705,19106,19731,2,🌎of Mystery,"Norberta, Fiery Flyin’ with Biden, Secluded Dragon",Norberta36,229391,,,false
,Tue Jan 21 22:50:56 +0000 2020,,,,0,1219754279659016198,,,,en,,,6,1219745016102506497,ajc,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",RT @ajc: The first U.S. case of the deadly new coronavirus has been confirmed by the CDC. The 30-year-old victim returned from Wuhan last w…,https://twitter.com/xhertx/status/1219754279659016198,Sat Jun 07 14:12:39 +0000 2014,xhertx,false,"News,Animalwelfare,dogs;PRO-Israel;science,environ,sociology,crime,anti-terror.Tweets DON'T always endorse/confirm.Not a biz-not extremist,fan of IRONY, watcher",246511,6798,5455,258,warnsomegraphicphotosbadnews,XiXi Davey,xhertx,369167,,http://iblocktrolls.com,false
,Tue Jan 21 22:25:22 +0000 2020,coronavirus,,,0,1219747843373772800,,,,en,,,249,1219698632217116673,AnneKPIX,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","RT @AnneKPIX: @CDC has activated its emergency operations center. 
They expect more US cases.
#coronavirus",https://twitter.com/German28Miranda/status/1219747843373772800,Wed Sep 14 00:52:21 +0000 2016,German28Miranda,false,,5035,1034,190,0,,GAMM,German28Miranda,5756,,,false
,Tue Jan 21 22:26:32 +0000 2020,,,,0,1219748139130769408,,,,en,,,443,1219706472797364224,eugenegu,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","RT @eugenegu: With the CDC confirming the first case of the Wuhan coronavirus here in the United States in Seattle, Washington, there are d…",https://twitter.com/kcfaul/status/1219748139130769408,Fri Aug 29 23:52:08 +0000 2008,kcfaul,false,"Former trader @cboe @cmegroup. Prev: VP Dev. @reald3d ($0-IPO), Founder @conwaygoods. outdoors, design, tech. Biophilic. Always an Oregon Duck",237238,1068,938,144,"Boulder, Seattle, LA, Oregon",kcfaul,kcfaul,69851,,http://siliconcoast.wordpress.com,false
,Tue Jan 21 22:50:29 +0000 2020,,,,0,1219754166622416896,,,,en,,,85,1219754042068332546,Reuters,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",RT @Reuters: The U.S. Centers for Disease Control (CDC) confirmed it had diagnosed the first case of the newly-identified Wuhan coronavirus…,https://twitter.com/cangia48/status/1219754166622416896,Tue Sep 04 16:41:48 +0000 2012,cangia48,false,"#ImpeachedForLife
N.E. expat.   #SwingLeftColorado #GoodTrouble
 Rarely cursed prior to 2016. #VoteBlueToSaveYourLife",309934,3089,3378,15,Inside The Loop,Candace G-G 😷💪🎭,cangia48,250610,,,false
,Tue Jan 21 22:24:59 +0000 2020,,,,0,1219747749031268355,,,,en,,,49,1219734732243636227,cnni,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","RT @cnni: Soon, passengers from Wuhan to the US, on direct or indirect flights, will only be allowed to land at one of five US airports doi…",https://twitter.com/HeleneFernand16/status/1219747749031268355,Fri Nov 08 01:04:45 +0000 2019,HeleneFernand16,false,I just HAD to share that pic. of Whoopi's soy boy in black face.  another account down.☻☻,67130,522,776,0,,Pink ghost,HeleneFernand16,68648,,,false
,Tue Jan 21 22:50:48 +0000 2020,,,https://www.cdc.gov/coronavirus/2019-nCoV/summary.html,0,1219754242732449792,,,,en,,false,0,,,"<a href=""http://www.facebook.com/twitter"" rel=""nofollow"">Facebook</a>","Novel Coronavirus 2019 Situation Summary, Wuhan, China | CDC https://t.co/iBUPBzXo5j",https://twitter.com/WendyDavitto/status/1219754242732449792,Fri May 13 18:04:19 +0000 2011,WendyDavitto,false,"I will take my last breath fighting to free all the dogs trapped in the dog meat trade! #EndDogMeatTrade 
#FriendsNotFood 
#EndBoknalForever 
#EndYulinForever",11174,280,352,3,,Wonderful Lady,WendyDavitto,15523,,,false
,Tue Jan 21 22:54:22 +0000 2020,Bought,,,0,1219755143748558849,,,,en,,,14,1219753456061353987,Just4TheCause,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","RT @Just4TheCause: Sell a useless vaccine to #Bought officials 

Insist the only way the vaccine “works” is if EVERY CHILD gets it FIVE TIM…",https://twitter.com/LexyMarconi/status/1219755143748558849,Sat May 04 22:57:47 +0000 2019,LexyMarconi,false,"We do not consent to lockdowns or being a slave race by the wearing of masks to silence our voice! 
Go to https://t.co/oaQDxsIumN for class action against mandates!",77206,1154,1147,0,,PA 1.8M out 2.5 In 1st Lady-Elect #FightBack,LexyMarconi,81919,,,false
,Tue Jan 21 22:50:42 +0000 2020,,,,0,1219754219177201664,,,,en,,,4,1219753217808125952,elliotcwilliams,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",RT @elliotcwilliams: How long is it before we see news of a school or town sequestering either (a) an Asian-American student who has no con…,https://twitter.com/CltrotLyn/status/1219754219177201664,Sun Mar 03 22:31:33 +0000 2013,CltrotLyn,false,retired fed; old cat lady; atheist; Hillary won! usually block promoted tweets 🤷‍♀️,326659,1649,4198,5,PA,Dems useless w/o Senate🙄,CltrotLyn,368378,,,false
,Tue Jan 21 22:49:34 +0000 2020,,,,0,1219753933968592897,,,,en,,,443,1219706472797364224,eugenegu,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","RT @eugenegu: With the CDC confirming the first case of the Wuhan coronavirus here in the United States in Seattle, Washington, there are d…",https://twitter.com/MambangStory/status/1219753933968592897,Wed Jun 08 19:55:52 +0000 2011,MambangStory,false,"Penggoyang Kaki ProfessionalTranslates stuff for @MMGazette",18517,1643,898,41,,mambang no bandwith fondant,MambangStory,99872,,,false
,Tue Jan 21 22:43:36 +0000 2020,coronavirus,,,0,1219752433921880064,,,,en,,,11,1219750799636484096,RobertRoyBritt,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","RT @RobertRoyBritt: I listened in to the CDC’s teleconference today on the #coronavirus, and while it’s one to keep an eye on, my suggestio…",https://twitter.com/SmithDanaG/status/1219752433921880064,Tue May 31 23:15:00 +0000 2011,SmithDanaG,false,"Senior staff writer @elemental @medium • PhD in 🧠• Normally covering the science of health and wellness, now all coronavirus all the time • dsmith@medium.com",26057,4708,2277,206,"Durham, NC",Dana Smith,SmithDanaG,8807,,http://danagsmith.com,true
,Tue Jan 21 22:21:59 +0000 2020,DYK flu,,,0,1219746991850258437,,,,en,,,80,1217133537381494785,CDCFlu,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",RT @CDCFlu: #DYK the #flu virus can spread to others up to 6 feet away? Flu viruses spread mainly by droplets made when people with flu cou…,https://twitter.com/CRHPC/status/1219746991850258437,Mon Aug 12 20:30:07 +0000 2013,CRHPC,false,"Our mission is “to provide accessible, comprehensive, quality health care to all within the communities we serve” Community Health Centers in Southern Illinois.",13,58,30,3,"Illinois, USA",CRHPC,CRHPC,2147,,http://www.crhpc.org,false
,Tue Jan 21 22:56:37 +0000 2020,,,https://www.foxbusiness.com/lifestyle/coronavirus-us-case-cdc-china,0,1219755707001659393,,,,en,,false,270,1219699008509300737,darhar981,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","RT @darhar981: First coronavirus case confirmed in US: CDC

https://t.co/CinuPqVwab",https://twitter.com/JLRSR1/status/1219755707001659393,Tue Feb 19 18:49:30 +0000 2019,JLRSR1,true,Vietnam DV 1968-69 9th Inf. Div. Sgt.E5 Native American. Arkansas. DV total and permanent,18770,439,810,0,"Arkansas, USA",JLRSR,JLRSR1,25039,,,false
,Tue Jan 21 22:41:52 +0000 2020,,,,0,1219751997794062337,,,,en,,,37,1219715406870519808,FinnaganMarina,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",RT @FinnaganMarina: Here we go!! I posted a video earlier of passengers being checked for the virus. Guess they missed one! China’s always…,https://twitter.com/Terri55364130/status/1219751997794062337,Wed May 09 01:03:56 +0000 2018,Terri55364130,false,"Wife, Mother and MiMi #MAGA #KAG Follow Q Believe in Jesus Christ RT aren't necessarily endorsement. Info Only. Make up your own mind. No DM No Lists",889,3273,2885,1,United States,Terri,Terri55364130,139846,,,false
,Tue Jan 21 22:53:04 +0000 2020,,,https://www.latimes.com/science/story/2020-01-21/china-coronavirus-outbreak-us,0,1219754815388958720,,,,en,,false,1,1219751928722124800,yamphoto,"<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>","RT @yamphoto: Scary: Chinese coronavirus outbreak has reached U.S. shores, CDC says https://t.co/7X9HNm1uEq",https://twitter.com/Yoymiskosas/status/1219754815388958720,Tue Aug 19 20:28:46 +0000 2014,Yoymiskosas,false,"Kinda of Weird, Monster Maker.",443535,1231,1790,82,usa,Yo yMisKosas🖤,Yoymiskosas,223967,,,false
,Tue Jan 21 22:25:08 +0000 2020,coronavirus,,,0,1219747786071007232,,,,en,,,1224,1219725632906694663,CDCgov,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",RT @CDCgov: The first human infection with new #coronavirus (#2019-nCoV) has been reported in the US in a person who recently traveled to W…,https://twitter.com/FridaRomayHgo/status/1219747786071007232,Mon Apr 02 20:30:45 +0000 2012,FridaRomayHgo,false,|Feminista 💚💜|Resiliente|Tesista Derecho @UNAM_MX |Salud Global y Resistencia Antimicrobiana #AMR|Bioética @MovimientoCUS|Las inequidades me indignan|she/her,15121,1213,3526,0,Pequeño Punto Azul 🌎,Frida Romay Hidalgo 🌻,FridaRomayHgo,12053,,,false
,Tue Jan 21 22:32:58 +0000 2020,,,https://mol.im/a/7912949,0,1219749757888925698,,,,en,,false,0,,,"<a href=""http://www.facebook.com/twitter"" rel=""nofollow"">Facebook</a>",Shirley https://t.co/m15YFwO5IU,https://twitter.com/Tootsjune/status/1219749757888925698,Tue Apr 07 12:31:18 +0000 2009,Tootsjune,false,,0,20,2,4,Alabama,Vicki Waters,Tootsjune,84453,,http://wdwd.blogspot.com,false
,Tue Jan 21 22:27:24 +0000 2020,China coronavirus,,,0,1219748355363962884,,,,en,,,36,1219704340224471041,MerlinofCanada,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","RT @MerlinofCanada: It's here folks
A traveller from #China has been diagnosed in Seattle with the new #coronavirus, a spokesperson from th…",https://twitter.com/DABBADO13/status/1219748355363962884,Wed Nov 06 00:01:38 +0000 2013,DABBADO13,false,need to know why,121529,356,626,2,,deb,DABBADO13,20410,,,false
,Tue Jan 21 22:49:57 +0000 2020,proveit,,,0,1219754028957085698,NoLore,1219717524595576800,156314187,en,,,0,,,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","@NoLore Well it's now in mainstream Asia as well as rublestooge land.

So I guess we find out quick if it's an upsell virus story 2 keep the general pop enthused by the big kids at CDC and WHO.
.I'm hoping your right

Butt I'm hedging all bets till I c a proper body count.

#proveit",https://twitter.com/Vet_Lib_canuck/status/1219754028957085698,Thu Dec 15 13:09:33 +0000 2016,Vet_Lib_canuck,false,#Veterans #inclusion #MotherNature 🇨🇦❤⚽️👀,71320,7369,7514,9,Canada,Terence Graham,Vet_Lib_canuck,43351,,,false
,Tue Jan 21 22:31:03 +0000 2020,flu FluView,,,0,1219749275372007427,,,,en,,,170,1219681572573544449,CDCgov,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","RT @CDCgov: New York City, Puerto Rico and 32 states are still experiencing high levels of #flu-like-illness, the latest #FluView report fr…",https://twitter.com/Androphotograph/status/1219749275372007427,Fri Sep 06 13:26:00 +0000 2019,Androphotograph,false,"#AndrophilicPhotography #AndophilicArt #MalePhotography #MaleArt #PhotographyOfMen #ArtOfMen #Androphotography: Naked Men! It's Art, Damn It!",44085,267,1422,3,United States,WR Photography: Androphotography,Androphotograph,77631,,,false
,Tue Jan 21 22:20:04 +0000 2020,,,,0,1219746508955967488,,,,en,,,2289,1219690544936431616,nytimes,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","RT @nytimes: Breaking News: The first U.S. case of the Wuhan coronavirus has been confirmed in Washington State, federal officials said. Th…",https://twitter.com/morvabowman/status/1219746508955967488,Fri Nov 21 17:17:20 +0000 2008,morvabowman,false,"Filk musician, cat servant, retired professional organizer, avid traveller & reader. Cis woman, she/her.",346251,550,230,21,"Winnipeg, Manitoba",morvabowman 🇨🇦,morvabowman,66044,,,false
,Tue Jan 21 22:50:44 +0000 2020,coronavirus,,,0,1219754229394329600,,,,en,,,1224,1219725632906694663,CDCgov,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",RT @CDCgov: The first human infection with new #coronavirus (#2019-nCoV) has been reported in the US in a person who recently traveled to W…,https://twitter.com/sergiogbyrd/status/1219754229394329600,Fri Mar 04 06:47:30 +0000 2011,sergiogbyrd,false,TS 080819 🎯cerca trova,12929,12788,416,16,"Culiacán, Sinaloa",Nils Sjöberg,sergiogbyrd,42925,,http://instagram.com/sergiobyrd,false
,Tue Jan 21 22:53:56 +0000 2020,,,,0,1219755033006366722,,,,en,,,1283,1219684881439039490,MatthewHilk,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",RT @MatthewHilk: BREAKING from @CNN - CDC expected to announce first U.S. case of Wuhan Coronavirus this afternoon @cnnhealth,https://twitter.com/pat625t/status/1219755033006366722,Sat Apr 18 00:38:36 +0000 2009,pat625t,false,"Like inspirational stories, jokes, health info & scenery",117941,1426,2363,0,,Pat Lobo,pat625t,163582,,,false
,Tue Jan 21 22:51:44 +0000 2020,,,,0,1219754481006645253,,,,en,,,85,1219754042068332546,Reuters,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",RT @Reuters: The U.S. Centers for Disease Control (CDC) confirmed it had diagnosed the first case of the newly-identified Wuhan coronavirus…,https://twitter.com/denise_bervig/status/1219754481006645253,Sat Apr 15 21:01:52 +0000 2017,denise_bervig,false,25+ year veteran educator,126774,91,239,0,"North Dakota, USA",Denise Bervig,denise_bervig,83223,,,false
,Tue Jan 21 22:46:02 +0000 2020,,,,0,1219753046311342091,,,,en,,,2,1219621640893542400,BuyDirectUSA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","RT @BuyDirectUSA: I am wondering with this new mysterious virus coming out of China, why dont we start forcing drug companies to manufactur…",https://twitter.com/wildwolf1313/status/1219753046311342091,Fri Oct 02 21:39:48 +0000 2009,wildwolf1313,false,,5156,88,130,1,,SAVE AMERICA,wildwolf1313,2962,,,false
